Title,Price (£),Price (€),Rating
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,19.62,3
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,24.09,5
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,43.44,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,65.59,1
The Death of Humanity: and the Case for Life,58.11,67.99,4
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,57.39,3
The Art Forger,40.76,47.69,3
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,23.08,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,37.72,5
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,48.94,4
Soul Reader,39.58,46.31,2
Security,39.25,45.92,2
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,29.27,3
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,59.72,2
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,23.2,2
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,58.97,3
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,15.92,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,15.61,5
"Pop Gun War, Volume 1: Gift",18.97,22.19,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,42.45,2
Patience,10.16,11.89,3
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,18.06,4
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,56.64,1
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,54.23,1
On a Midnight Clear,14.07,16.46,3
Obsidian (Lux #1),14.86,17.39,2
My Paris Kitchen: Recipes and Stories,33.37,39.04,2
Masks and Shadows,56.4,65.99,2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,16.4,4
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,54.88,2
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,53.36,3
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,23.31,2
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,46.93,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,63.06,2
Join,35.67,41.73,5
In the Country We Love: My Family Divided,22.0,25.74,4
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,67.11,5
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,34.13,2
I am a Hero Omnibus Volume 1,54.63,63.92,3
How to Be Miserable: 40 Strategies You Already Use,46.03,53.86,1
Her Backup Boyfriend (The Sorensen Family #1),33.97,39.74,1
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,25.87,2
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,34.74,3
First and First (Five Boroughs #3),15.97,18.68,4
Fifty Shades Darker (Fifty Shades #2),21.96,25.69,1
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,63.59,2
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,44.42,2
Danganronpa Volume 1,51.99,60.83,4
Crown of Midnight (Throne of Glass #2),43.29,50.65,3
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,42.96,4
Camp Midnight,17.08,19.98,4
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,34.09,5
Burning,28.81,33.71,3
Bossypants,49.46,57.87,2
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,44.37,2
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,32.87,2
Algorithms to Live By: The Computer Science of Human Decisions,30.81,36.05,1
A World of Flavor: Your Gluten Free Passport,42.95,50.25,1
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,66.41,5
A Murder in Time,16.64,19.47,1
A Flight of Arrows (The Pathfinders #2),55.53,64.97,5
A Fierce and Subtle Poison,28.13,32.91,4
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,61.27,1
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,63.18,5
You Are What You Love: The Spiritual Power of Habit,21.87,25.59,4
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,50.66,4
Tuesday Nights in 1980,21.04,24.62,2
Tracing Numbers on a Train,41.6,48.67,3
Throne of Glass (Throne of Glass #1),35.07,41.03,3
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,69.78,1
Thirteen Reasons Why,52.72,61.68,1
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,67.95,4
The Wedding Dress,24.12,28.22,1
The Vacationers,42.15,49.32,4
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,14.75,5
The Stranger,17.44,20.4,4
The Shadow Hero (The Shadow Hero),33.14,38.77,1
The Secret (The Secret #1),27.37,32.02,4
The Regional Office Is Under Attack!,51.36,60.09,5
The Psychopath Test: A Journey Through the Madness Industry,36.0,42.12,2
The Project,10.65,12.46,1
The Power of Now: A Guide to Spiritual Enlightenment,43.54,50.94,2
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,44.71,2
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,43.69,5
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,51.6,4
The Mistake (Off-Campus #2),43.29,50.65,3
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,65.34,1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,43.99,2
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,12.83,1
The Kite Runner,41.82,48.93,4
The House by the Lake,36.95,43.23,1
The Glittering Court (The Glittering Court #1),44.28,51.81,1
The Girl on the Train,55.02,64.37,2
The Genius of Birds,17.24,20.17,1
The Emerald Mystery,23.15,27.09,2
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,48.26,1
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,37.44,3
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,45.03,5
The Art of War,33.34,39.01,5
The Argonauts,10.93,12.79,2
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,32.23,3
Suddenly in Love (Lake Haven #1),55.99,65.51,2
Something More Than This,16.24,19.0,4
Soft Apocalypse,26.12,30.56,2
So You've Been Publicly Shamed,12.23,14.31,2
Shoe Dog: A Memoir by the Creator of NIKE,23.99,28.07,2
"Shobu Samurai, Project Aryoku (#3)",29.06,34.0,3
Secrets and Lace (Fatal Hearts #1),20.27,23.72,1
Scarlett Epstein Hates It Here,43.55,50.95,5
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,43.22,1
Redeeming Love,20.47,23.95,5
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,48.04,1
Poems That Make Grown Women Cry,14.19,16.6,4
"Nightingale, Sing",38.28,44.79,1
Night Sky with Exit Wounds,41.05,48.03,1
Mrs. Houdini,30.25,35.39,5
Modern Romance,28.26,33.06,5
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,12.59,1
Louisa: The Extraordinary Life of Mrs. Adams,16.85,19.71,2
Little Red,13.47,15.76,3
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,56.82,5
Large Print Heart of the Pride,19.15,22.41,2
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,67.11,4
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,50.29,1
Grumbles,22.16,25.93,2
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,57.83,4
Frostbite (Vampire Academy #2),29.99,35.09,5
Follow You Home,21.36,24.99,1
First Steps for New Christians (Print Edition),29.0,33.93,1
Finders Keepers (Bill Hodges Trilogy #2),53.53,62.63,5
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,48.7,4
Eureka Trivia 6.0,54.59,63.87,4
Drive: The Surprising Truth About What Motivates Us,34.95,40.89,4
Done Rubbed Out (Reightman & Bailey #1),37.72,44.13,5
Doing It Over (Most Likely To #1),35.61,41.66,3
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,49.33,3
Dark Notes,19.19,22.45,5
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,22.73,3
Close to You,49.46,57.87,4
Chasing Heaven: What Dying Taught Me About Living,37.8,44.23,2
Big Magic: Creative Living Beyond Fear,30.8,36.04,3
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,32.09,2
Beauty Restored (Riley Family Legacy Novellas #3),11.11,13.0,2
Batman: The Long Halloween (Batman),36.5,42.7,2
Batman: The Dark Knight Returns (Batman),15.38,17.99,5
Ayumi's Violin,15.48,18.11,2
Anonymous,46.82,54.78,4
Amy Meets the Saints and Sages,18.46,21.6,3
Amid the Chaos,36.58,42.8,1
Amatus,50.54,59.13,5
Agnostic: A Spirited Manifesto,12.51,14.64,5
Zealot: The Life and Times of Jesus of Nazareth,24.7,28.9,3
You (You #1),43.61,51.02,5
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,43.69,4
Wild Swans,14.36,16.8,2
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,61.6,4
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,44.69,4
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,22.93,2
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,63.06,1
Walt Disney's Alice in Wonderland,12.96,15.16,5
V for Vendetta (V for Vendetta Complete),37.1,43.41,4
Until Friday Night (The Field Party #1),46.31,54.18,2
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,53.76,2
Twenty Yawns,22.08,25.83,2
Through the Woods,25.38,29.69,2
This Is Where It Ends,27.12,31.73,2
The Year of Magical Thinking,43.04,50.36,2
The Wright Brothers,56.8,66.46,4
The White Queen (The Cousins' War #1),25.91,30.31,5
The Wedding Pact (The O'Malleys #2),32.61,38.15,3
The Time Keeper,27.88,32.62,5
The Testament of Mary,52.67,61.62,4
The Star-Touched Queen,46.02,53.84,5
The Songs of the Gods,44.48,52.04,5
The Song of Achilles,37.4,43.76,5
The Rosie Project (Don Tillman #1),54.04,63.23,1
The Power of Habit: Why We Do What We Do in Life and Business,16.88,19.75,3
The Marriage of Opposites,28.08,32.85,4
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,12.17,1
The Long Haul (Diary of a Wimpy Kid #9),44.07,51.56,1
The Loney,23.4,27.38,1
The Literature Book (Big Ideas Simply Explained),17.43,20.39,3
The Last Mile (Amos Decker #2),54.21,63.43,2
The Immortal Life of Henrietta Lacks,40.67,47.58,2
The Hidden Oracle (The Trials of Apollo #1),52.26,61.14,2
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,33.66,3
The Guilty (Will Robie #4),13.82,16.17,2
The First Hostage (J.B. Collins #2),25.85,30.24,3
The Dovekeepers,48.78,57.07,1
The Darkest Lie,35.35,41.36,5
The Bane Chronicles (The Bane Chronicles #1-11),44.73,52.33,4
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,18.45,1
The 14th Colony (Cotton Malone #11),39.24,45.91,1
That Darkness (Gardiner and Renner #1),13.92,16.29,1
Tastes Like Fear (DI Marnie Rome #3),10.69,12.51,1
Take Me with You,45.21,52.9,3
Swell: A Year of Waves,45.58,53.33,1
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,13.91,5
Still Life with Bread Crumbs,26.41,30.9,3
Steve Jobs,39.5,46.21,5
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,52.35,4
Someone Like You (The Harrisons #2),52.79,61.76,5
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,41.45,4
Shtum,55.84,65.33,4
See America: A Celebration of Our National Parks & Treasured Sites,48.87,57.18,3
salt.,46.78,54.73,4
Robin War,47.82,55.95,3
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,29.81,2
Rain Fish,23.57,27.58,3
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,59.54,5
Pet Sematary,10.56,12.36,3
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,61.02,3
Once Was a Time,18.28,21.39,2
Old School (Diary of a Wimpy Kid #10),11.83,13.84,5
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,25.68,2
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,44.92,2
My Name Is Lucy Barton,41.56,48.63,1
My Mrs. Brown,24.48,28.64,3
My Kind of Crazy,40.36,47.22,1
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,33.81,1
More Than Music (Chasing the Dream #1),37.61,44.0,2
Made to Stick: Why Some Ideas Survive and Others Die,38.85,45.45,5
Luis Paints the World,53.95,63.12,3
Luckiest Girl Alive,49.83,58.3,3
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,60.27,2
Love Is a Mix Tape (Music #1),18.03,21.1,1
Looking for Lovely: Collecting the Moments that Matter,29.14,34.09,5
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,54.88,4
Let It Out: A Journey Through Journaling,26.79,31.34,5
Lady Midnight (The Dark Artifices #1),16.28,19.05,5
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,22.87,1
Island of Dragons (Unwanteds #7),29.65,34.69,1
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,30.4,4
I Am Pilgrim (Pilgrim #1),10.6,12.4,4
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,17.26,5
"Hush, Hush (Hush, Hush #1)",47.02,55.01,3
Hold Your Breath (Search and Rescue #1),28.82,33.72,1
Hamilton: The Revolution,58.79,68.78,3
Greek Mythic History,10.23,11.97,5
God: The Most Unpleasant Character in All Fiction,30.03,35.14,5
Glory over Everything: Beyond The Kitchen House,45.84,53.63,3
Feathers: Displays of Brilliant Plumage,49.05,57.39,3
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,17.62,4
Every Last Word,46.47,54.37,3
Eligible (The Austen Project #4),27.09,31.7,3
El Deafo,57.62,67.42,5
Eight Hundred Grapes,14.39,16.84,4
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,60.55,5
"Eat Fat, Get Thin",54.07,63.26,2
Don't Get Caught,55.35,64.76,1
Doctor Sleep (The Shining #2),40.12,46.94,2
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,43.89,5
Dear Mr. Knightley,11.21,13.12,5
Daily Fantasy Sports,36.58,42.8,1
Crazy Love: Overwhelmed by a Relentless God,47.72,55.83,2
Cometh the Hour (The Clifton Chronicles #6),25.01,29.26,3
Code Name Verity (Code Name Verity #1),22.13,25.89,4
Clockwork Angel (The Infernal Devices #1),44.14,51.64,1
City of Glass (The Mortal Instruments #3),56.02,65.54,4
City of Fallen Angels (The Mortal Instruments #4),11.23,13.14,4
City of Bones (The Mortal Instruments #1),43.28,50.64,1
City of Ashes (The Mortal Instruments #2),47.27,55.31,1
Cell,20.29,23.74,4
Catching Jordan (Hundred Oaks),50.83,59.47,3
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,37.26,3
Carrie,46.23,54.09,2
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,44.23,4
Brain on Fire: My Month of Madness,49.32,57.7,5
Batman: Europa,32.01,37.45,2
Barefoot Contessa Back to Basics,28.01,32.77,1
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,59.23,5
Balloon Animals,17.03,19.93,3
Art Ops Vol. 1,48.8,57.1,3
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,68.02,4
Angels Walking (Angels Walking #1),34.2,40.01,2
Angels & Demons (Robert Langdon #1),51.48,60.23,3
All the Light We Cannot See,29.87,34.95,5
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,12.75,2
Abstract City,56.37,65.95,5
A Time of Torment (Charlie Parker #14),48.35,56.57,5
A Study in Scarlet (Sherlock Holmes #1),16.73,19.57,2
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,66.08,2
A People's History of the United States,40.79,47.72,2
A Man Called Ove,39.72,46.47,1
A Distant Mirror: The Calamitous 14th Century,14.58,17.06,3
A Brush of Wings (Angels Walking #3),55.51,64.95,1
1491: New Revelations of the Americas Before Columbus,21.8,25.51,3
"The Three Searches, Meaning, and the Story",13.33,15.6,3
Searching for Meaning in Gailana,38.73,45.31,1
Rook,37.86,44.3,4
My Kitchen Year: 136 Recipes That Saved My Life,11.53,13.49,2
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,31.66,1
Will You Won't You Want Me?,13.86,16.22,3
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,43.93,1
The Star-Touched Queen,32.3,37.79,5
The Silent Sister (Riley MacPherson #1),46.29,54.16,5
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,30.65,1
The Lonely City: Adventures in the Art of Being Alone,33.26,38.91,2
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,69.21,4
The Golden Condom: And Other Essays on Love Lost and Found,39.43,46.13,1
The Epidemic (The Program 0.6),14.44,16.89,5
The Dinner Party,56.54,66.15,2
The Diary of a Young Girl,59.9,70.08,3
The Children,11.88,13.9,3
Stars Above (The Lunar Chronicles #4.5),48.05,56.22,2
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,24.82,3
Raspberry Pi Electronics Projects for the Evil Genius,49.67,58.11,4
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,50.47,1
Psycho: Sanitarium (Psycho #1.5),36.97,43.25,5
Poisonous (Max Revere Novels #3),26.8,31.36,3
One with You (Crossfire #5),15.71,18.38,4
No Love Allowed (Dodge Cove #1),54.65,63.94,4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,63.6,4
Most Wanted,35.28,41.28,3
"Love, Lies and Spies",20.55,24.04,2
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,68.23,5
Hide Away (Eve Duncan #20),11.84,13.85,1
Furiously Happy: A Funny Book About Horrible Things,41.46,48.51,4
Everyday Italian: 125 Simple and Delicious Recipes,20.1,23.52,5
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,66.53,1
Eleanor & Park,56.51,66.12,5
Dirty (Dive Bar #1),40.83,47.77,4
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,56.91,1
Boar Island (Anna Pigeon #19),59.48,69.59,3
A Paris Apartment,39.01,45.64,4
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,45.36,1
Troublemaker: Surviving Hollywood and Scientology,48.39,56.62,2
The Widow,27.26,31.89,2
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,13.67,4
The Improbability of Love,59.45,69.56,1
The Art of Startup Fundraising,21.0,24.57,3
Take Me Home Tonight (Rock Star Romance #3),53.98,63.16,3
Sleeping Giants (Themis Files #1),48.74,57.03,1
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,24.75,2
Playing with Fire,13.71,16.04,3
Off the Hook (Fishing for Trouble #1),47.67,55.77,3
Mothering Sunday,13.34,15.61,2
"Mother, Can You Not?",16.89,19.76,5
M Train,27.18,31.8,1
Lilac Girls,17.28,20.22,2
Lies and Other Acts of Love,45.14,52.81,1
Lab Girl,40.85,47.79,1
Keep Me Posted,20.46,23.94,4
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,65.84,3
Grey (Fifty Shades #4),48.49,56.73,4
"Exit, Pursued by a Bear",51.34,60.07,4
Daredevils,16.34,19.12,3
Cravings: Recipes for What You Want to Eat,20.5,23.98,3
Born for This: How to Find the Work You Were Meant to Do,21.59,25.26,5
Arena,21.36,24.99,4
Adultery,20.88,24.43,5
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,22.85,3
A Gentleman's Position (Society of Gentlemen #3),14.75,17.26,5
11/22/63,48.48,56.72,3
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,28.75,2
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,58.16,5
Without Shame,48.27,56.48,5
Watchmen,58.05,67.92,4
Unlimited Intuition Now,58.87,68.88,4
Underlying Notes,11.82,13.83,2
The Shack,28.03,32.8,1
The New Brand You: Your New Image Makes the Sale for You,44.05,51.54,5
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,14.44,4
The Flowers Lied,16.68,19.52,2
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,65.41,1
The Book of Mormon,24.57,28.75,3
The Art and Science of Low Carbohydrate Living,52.98,61.99,5
The Alien Club,54.4,63.65,1
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,64.13,5
Nap-a-Roo,25.08,29.34,1
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,12.18,4
Modern Day Fables,47.44,55.5,2
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,24.46,1
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,39.72,4
Dress Your Family in Corduroy and Denim,43.68,51.11,3
Don't Forget Steven,33.23,38.88,1
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,42.03,2
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,56.9,4
A Shard of Ice (The Black Symphony Saga #1),56.63,66.26,3
A Hero's Curse (The Unseen Chronicles #1),50.49,59.07,3
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,41.87,2
"Zero to One: Notes on Startups, or How to Build the Future",34.06,39.85,3
Why Not Me?,17.76,20.78,1
When Breath Becomes Air,39.36,46.05,2
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,43.22,2
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,51.04,5
The New Drawing on the Right Side of the Brain,43.02,50.33,3
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,33.29,4
The Martian (The Martian #1),41.39,48.43,2
The High Mountains of Portugal,51.15,59.85,1
The Grownup,35.88,41.98,1
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,43.18,1
South of Sunshine,28.93,33.85,1
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,45.5,5
Silence in the Dark (Logan Point #4),58.33,68.25,3
